site,year1,year2,lati,longi,alti
ADR,2015,2016,27.88,-0.274,262
ALB,2018,2019,35.03796,-106.62211,1617
ALI,2017,2018,-23.798,133.888,547
BAR,2016,2017,71.323,-156.6114,11
BUR,2017,2018,43.519197,-119.021623,1265
CAB,2018,2019,51.9711,4.9267,0
CAC,2017,2018,-22.6896,-45.0062,574
CAH,2017,2018,26.867,128.248,65
CAI,2017,2018,30.036,31.009,104
CAR,2017,2018,44.083,5.059,100
CEH,2018,2019,12.7534,107.8763,277
CEN,2017,2018,42.816,-1.601,471
CHB,2017,2018,35.625,140.104,21
CHI,2016,2017,-15.67984,34.97229,769
CHL,2016,2017,-15.5483,28.24817,1226
CON,2017,2018,-75.1,123.383,3233
DAN,2018,2019,16.01257,108.18649,11
DEA,2017,2018,-30.6667,23.993,1287
FEN,2018,2019,22.80029,91.35819,7
FLO,2017,2018,-27.6047,-48.5227,11
FUK,2017,2018,33.5822,130.3764,3
FUU,2017,2018,32.752,128.682,80
GAN,2016,2017,-0.6906,73.15,5
GOB,2017,2018,-23.5614,15.042,407
HAF,2017,2018,36.31357,-119.63164,73
HAN,2016,2017,6.74823,73.16961,4
HER,2017,2018,45.818441,-119.284721,188
ISH,2017,2018,24.3367,124.1644,5.7
JOR,2016,2017,30.172,35.818,1012
KAS,2016,2017,-13.0153,33.4684,1067
KDO,2016,2017,1.8599,73.5203,2
LAN,2017,2018,37.1038,-76.3872,3
MAD,2017,2018,43.0725,-89.41133,271
MIL,2017,2018,45.476179,9.254559,150
MIN,2017,2018,24.2883,153.9833,7.1
MIS,2016,2017,32.86,-4.107,1107
MIY,2016,2017,24.737,125.327,50
MZU,2016,2017,-11.4199,33.9953,1287
NAT,2017,2018,-5.8367,-35.2064,58
OUJ,2018,2019,34.65,-1.9,617
PAL,2017,2018,48.713,2.208,156
PAY,2017,2018,46.815,6.944,491
PET,2017,2018,-9.068,-40.319,387
SAL,2015,2016,40.7722,-111.95495,1288
SAP,2016,2018,43.06,141.3286,17.2
SEA,2017,2017,47.68685,-122.25667,20
SET,2016,2017,47.65387,-122.30948,70
SIL,2016,2018,43.11896,-121.05879,1324
SON,2018,2017,11.264,108.3452,61
STR,2017,2018,38.97203,-77.4869,85
TAB,2017,2018,37.0909,-2.3581,500
TAM,2016,2017,22.7903,5.5292,1385
TAN,2015,2016,28.498,-11.322,75
TAT,2015,2016,32.974,10.485,210
TOR,2017,2018,58.254,26.462,70
TRI,2017,2018,11.1024,107.0378,59
KIR,2017,2018,67.842,20.41,424
NOR,2017,2018,58.582,16.148,53
PAR,2015,2016,41.32,69.74,1081
VIS,2017,2018,57.673,18.345,49












